Training...
[10 | 18.22] loss=2.27 avg=2.27
[1260 | 237.73] loss=2.10 avg=1.95
[1270 | 246.56] loss=2.13 avg=1.96
[1280 | 255.38] loss=1.87 avg=1.96
[1290 | 264.23] loss=1.76 avg=1.95
[1300 | 273.05] loss=1.80 avg=1.94
[1310 | 281.89] loss=1.79 avg=1.94
[1320 | 290.71] loss=1.92 avg=1.94
[1330 | 299.54] loss=2.27 avg=1.95
[1340 | 308.37] loss=2.04 avg=1.95
[1350 | 317.21] loss=2.23 avg=1.96
[1360 | 326.04] loss=2.15 avg=1.97
[1370 | 334.86] loss=2.41 avg=1.98
[1380 | 343.72] loss=2.06 avg=1.98
[1390 | 352.56] loss=1.89 avg=1.98
[1400 | 361.40] loss=2.22 avg=1.99
[1410 | 370.23] loss=2.04 avg=1.99
[1420 | 379.08] loss=2.03 avg=1.99
[1430 | 387.91] loss=1.71 avg=1.98
[1440 | 396.75] loss=1.95 avg=1.98
[1450 | 405.57] loss=2.14 avg=1.99
[1460 | 414.39] loss=2.13 avg=1.99
[1470 | 423.22] loss=2.09 avg=1.99
[1480 | 432.05] loss=1.76 avg=1.99
[1490 | 440.88] loss=1.94 avg=1.99
[1500 | 449.70] loss=2.15 avg=1.99
[1510 | 458.52] loss=2.18 avg=2.00
[1520 | 467.36] loss=2.08 avg=2.00
[1530 | 476.19] loss=1.82 avg=1.99
[1540 | 485.02] loss=1.90 avg=1.99
[1550 | 493.84] loss=2.22 avg=2.00
[1560 | 502.68] loss=1.85 avg=1.99
[1570 | 511.52] loss=1.60 avg=1.98
[1580 | 520.37] loss=2.03 avg=1.99
[1590 | 529.21] loss=2.65 avg=2.00
[1600 | 538.05] loss=1.45 avg=1.99
[1610 | 546.88] loss=2.35 avg=2.00
[1620 | 555.72] loss=2.01 avg=2.00
[1630 | 564.56] loss=1.75 avg=1.99
[1640 | 573.39] loss=1.97 avg=1.99
[1650 | 582.22] loss=2.36 avg=2.00
[1660 | 591.05] loss=2.13 avg=2.00
[1670 | 599.89] loss=2.13 avg=2.00
[1680 | 608.73] loss=1.51 avg=1.99
[1690 | 617.56] loss=1.90 avg=1.99
[1700 | 626.39] loss=1.50 avg=1.98
[1710 | 635.21] loss=2.13 avg=1.98
[1720 | 644.03] loss=1.99 avg=1.98
[1730 | 652.86] loss=1.59 avg=1.98
[1740 | 661.69] loss=2.10 avg=1.98
[1750 | 670.53] loss=2.01 avg=1.98
[1760 | 679.38] loss=1.72 avg=1.98
[1770 | 688.22] loss=2.06 avg=1.98
[1780 | 697.04] loss=1.54 avg=1.97
[1790 | 705.89] loss=2.01 avg=1.97
[1800 | 714.72] loss=2.43 avg=1.98
[1810 | 723.55] loss=1.63 avg=1.97
[1820 | 732.38] loss=1.77 avg=1.97
[1830 | 741.22] loss=1.97 avg=1.97
[1840 | 750.07] loss=1.96 avg=1.97
[1850 | 758.89] loss=1.74 avg=1.96
[1860 | 767.74] loss=1.74 avg=1.96
[1870 | 776.58] loss=1.83 avg=1.96
[1880 | 785.41] loss=1.78 avg=1.95
[1890 | 794.24] loss=1.97 avg=1.96
[1900 | 803.07] loss=2.90 avg=1.97
[1910 | 811.91] loss=2.01 avg=1.97
[1920 | 820.73] loss=1.89 avg=1.97
[1930 | 829.57] loss=1.82 avg=1.97
[1940 | 838.42] loss=1.70 avg=1.96
[1950 | 847.26] loss=2.08 avg=1.97
[1960 | 856.09] loss=1.54 avg=1.96
[1970 | 864.92] loss=2.04 avg=1.96
[1980 | 873.75] loss=1.62 avg=1.95
[1990 | 882.57] loss=1.87 avg=1.95
[2000 | 891.39] loss=2.86 avg=1.97
Saving checkpoint/run1/model-2000
WARNING:tensorflow:From /usr/local/lib/python3.6/dist-packages/tensorflow_core/python/training/saver.py:963: remove_checkpoint (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to delete files with this prefix.
======== SAMPLE 1 ========
']\rho', 'cook 5 min per side , remove from oven and stir', 'remove from oven and stir slowly with a wooden spoon , until chocolate appears melted and chocolate is brown', 'cook 15 more min per side', 'remove from oven , add hot chocolate mixture and stir gently', 'let rest 10 min for 8 mins', 'stir mixture throughly to coat both sides of biscuits', 'cool , then roll in chocolate', 'serve warm , topped with chocolate chips , m&m', 'this recipe is a keeper']<|endoftext|>|NAME:chocolate chipped chocolate cake|DESC:in an old time recipe book from a lady's bible from india it states that the first christening of the christening is the christening of a "chipped chocolate cake in the shape of a chubby chanse or chanse!". this recipe uses a recipe found in a book called "the chanse bible" which has been compiled from the christening recipes. if you like chanse cake, you may be happy to give this a try. the book is in the german language. recipe courtesy of: http://www.chicago.com/archives/cincinnati/bible/2011/06/the_chaube_beyond_a_cookie_bread_in_the_shape_of_an_chubby_chanse_or_chanse_.html for more information visit: http://www.chicago.com/archives/chicago/bible/2011/06/the_chaube_beyond_a_cookie_bread_in_the_shape_of_a_chubby_chanse_or_chanse_.html|INGREDIENTS:['butter', 'flour', 'sugar', 'baking powder', 'salt']|STEPS:['set oven to 400 degrees', 'preheat oven to 350 degrees', 'butter cookie sheet that will fit in 8x12 square', 'cream the butter , sugar and baking powder until smooth', 'add salt and blend', 'drop by rounded teaspoons onto cookie sheet', 'sprinkle chocolate over chanse', 'bake on cookie sheet for 15 minutes or until golden brown', 'using very sharp knife , cut out chocolate and add to chanse', 'pour chocolate syrup over chanse and chocolate', 'place on a tray , refrigerate at least 4 hours or overnight', 'when ready to bake you may make your chocolate cheesecake using milk or buttermilk for more chocolate flavour', 'it has a slightly rich chocolate chocolate appearance and a chewy finish', 'this is also great with graham cracker crusts or a chocolate chip / pretzel crust , but it's best with your favourite chocolate chip']<|endoftext|>|NAME:chocolate chipped chocolate chip cookies|DESC:this recipe was first posted by laura macdonald on the chicanatomy website many years ago.  since that time, i haven't made any chipped chocolate chip cookies.  while the cookies are not exactly perfect, they are certainly tasty.|INGREDIENTS:['flour', 'sugar', 'salt', 'creme de cacruse', 'butter', 'egg', 'orange juice and zest of', 'miniature chocolate chips', 'baking soda', 'butter']|STEPS:['pre-heat oven to 350 degrees fahrenheit', 'place flour , sugar and salt in a food processor', 'cover and process until the mixture resembles coarse crumbs', 'preheat oven to 350 degrees fahrenheit', 'in a double boiler melt the chocolate chips and butter on high heat', 'mix thoroughly', 'reduce heat to med-high and slowly add the orange juice', 'when mixture is pale golden , add the zest and orange juice and blend well', 'mix with flour mixture', 'cover and process for 5 minutes', 'remove from oven and cool completely on a wire rack', 'punch down dough', 'cut dough into 4 equal parts', 'using a round cookie cutter cut 1 large portion for each cookie', 'cut into 6 equal parts', 'fill an oven-proof dish with chocolate chip ice cream or chocolate chip cookie m&m's', 'use a large cookie-m&m with cookie m&m's as well', 'set aside', 'in a small bowl mix 1 1 / 4 cups of icing with butter until well blended', 'place chocolate chips and cookie chips in a small dish , and drizzle chocolate chips / cookies over chocolate chips', 'sprinkle with remaining 1 / 4 cup icing']<|endoftext|>|NAME:chocolate chip cookie ice cream|DESC:a favorite of mine when i was a child. it looks so simple and elegant.|INGREDIENTS:['semi-whipped cream', '

[2010 | 927.30] loss=1.75 avg=1.96
[2020 | 936.13] loss=2.17 avg=1.97
[2030 | 944.95] loss=1.81 avg=1.96
[2040 | 953.77] loss=1.70 avg=1.96
[2050 | 962.60] loss=1.66 avg=1.96
[2060 | 971.42] loss=2.12 avg=1.96
[2070 | 980.25] loss=1.76 avg=1.96
[2080 | 989.08] loss=1.94 avg=1.96
[2090 | 997.90] loss=1.68 avg=1.95
[2100 | 1006.72] loss=1.89 avg=1.95
[2110 | 1015.56] loss=1.68 avg=1.95
[2120 | 1024.40] loss=1.87 avg=1.95
[2130 | 1033.22] loss=1.50 avg=1.94
[2140 | 1042.05] loss=1.89 avg=1.94
[2150 | 1050.89] loss=1.39 avg=1.93
[2160 | 1059.72] loss=2.05 avg=1.93
[2170 | 1068.55] loss=1.52 avg=1.93
[2180 | 1077.38] loss=1.68 avg=1.92
[2190 | 1086.23] loss=1.74 avg=1.92
[2200 | 1095.05] loss=1.75 avg=1.92
[2210 | 1103.87] loss=1.63 avg=1.91
[2220 | 1112.71] loss=1.70 avg=1.91
[2230 | 1121.54] loss=2.08 avg=1.91
[2240 | 1130.38] loss=1.77 avg=1.91
[2250 | 1139.23] loss=1.89 avg=1.91
interrupted
Saving checkpoint/run1/model-2251
